"SessionID","Configuration Name","Observer","DeviceID","Session Start Time","Session End Time","DateTime","Date","Time","Year","Month","Hour","Project Animals","Duration","Grid Size","Image Size","Notes","Channel Type","Focal Name","All Occurrence Value","Frame Number","Interval Channel 1 Name","Interval Channel 1 Value","Interval Channel 2 Name","Interval Channel 2 Value","Interval Channel 3 Name","Interval Channel 3 Value","Interval Channel 3 Social Modifier","Interval Channel 4 Name","Interval Channel 4 Value","Interval Channel 4 Social Modifier","Interval Channel 5 Name","Interval Channel 5 Value","Interval Channel 6 Name","Interval Channel 6 Value","Interval Channel 7 Name","Interval Channel 7 Value","Interval Channel 8 Name","Interval Channel 8 Value","Interval Channel 9 Name","Interval Channel 9 Value","Interval Channel 10 Name","Interval Channel 10 Value"
"17","Mini Equine","Arlisa Homan","fec64e9b-ff9b-4fe1-8710-c140662355ed","2017-11-26 14:07:50","","2017-11-26 14:09:14","2017-11-26","14:09:14","2017","11","14","Brooke,Rosie","15.00","","600x600","","Interval","BB","","1","","","","","Social","Vocalization","","","","","","","","","","","","","","","",""
"17","Mini Equine","Arlisa Homan","fec64e9b-ff9b-4fe1-8710-c140662355ed","2017-11-26 14:07:50","","2017-11-26 14:09:14","2017-11-26","14:09:14","2017","11","14","Brooke,Rosie","15.00","","600x600","","Interval","Brooke","","1","","","","","Social","Vocalization","","","","","","","","","","","","","","","",""
"17","Mini Equine","Arlisa Homan","fec64e9b-ff9b-4fe1-8710-c140662355ed","2017-11-26 14:07:50","","2017-11-26 14:09:14","2017-11-26","14:09:14","2017","11","14","Brooke,Rosie","15.00","","600x600","","Interval","Rosie","","1","","","","","Social","Vocalization","","","","","","","","","","","","","","","",""
"17","Mini Equine","Arlisa Homan","fec64e9b-ff9b-4fe1-8710-c140662355ed","2017-11-26 14:07:50","","2017-11-26 14:10:14","2017-11-26","14:10:14","2017","11","14","Brooke,Rosie","15.00","","600x600","","Interval","Brooke","","2","","","Locomotion","Walking","","","","","","","","","","","","","","","","","",""
"17","Mini Equine","Arlisa Homan","fec64e9b-ff9b-4fe1-8710-c140662355ed","2017-11-26 14:07:50","","2017-11-26 14:10:14","2017-11-26","14:10:14","2017","11","14","Brooke,Rosie","15.00","","600x600","","Interval","Rosie","","2","","","Locomotion","Walking","","","","","","","","","","","","","","","","","",""
"17","Mini Equine","Arlisa Homan","fec64e9b-ff9b-4fe1-8710-c140662355ed","2017-11-26 14:07:50","","","","","","","","Brooke,Rosie","15.00","","600x600","","Interval","Brooke","","3","","","","","","","","","","","","","","","","","","","","","",""
"17","Mini Equine","Arlisa Homan","fec64e9b-ff9b-4fe1-8710-c140662355ed","2017-11-26 14:07:50","","","","","","","","Brooke,Rosie","15.00","","600x600","","Interval","Rosie","","3","","","","","","","","","","","","","","","","","","","","","",""
"17","Mini Equine","Arlisa Homan","fec64e9b-ff9b-4fe1-8710-c140662355ed","2017-11-26 14:07:50","","","","","","","","Brooke,Rosie","15.00","","600x600","","Interval","Brooke","","4","","","","","","","","","","","","","","","","","","","","","",""
"17","Mini Equine","Arlisa Homan","fec64e9b-ff9b-4fe1-8710-c140662355ed","2017-11-26 14:07:50","","","","","","","","Brooke,Rosie","15.00","","600x600","","Interval","Rosie","","4","","","","","","","","","","","","","","","","","","","","","",""
"17","Mini Equine","Arlisa Homan","fec64e9b-ff9b-4fe1-8710-c140662355ed","2017-11-26 14:07:50","","","","","","","","Brooke,Rosie","15.00","","600x600","","Interval","Brooke","","5","","","","","","","","","","","","","","","","","","","","","",""
