"SessionID","Configuration Name","Observer","DeviceID","Session Start Time","Session End Time","DateTime","Date","Time","Year","Month","Hour","Project Animals","Duration","Grid Size","Image Size","Notes","Channel Type","Focal Name","All Occurrence Value","Frame Number","Interval Channel 1 Name","Interval Channel 1 Value","Interval Channel 2 Name","Interval Channel 2 Value","Interval Channel 2 Social Modifier","Interval Channel 3 Name","Interval Channel 3 Value","Interval Channel 3 Social Modifier"
"4","NARO","Laura Pilarski","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2017-11-14 15:08:57","","2017-11-14 15:10:06","2017-11-14","15:10:06","2017","11","15","Freyja,Thelma","15.00","","600x600","","Interval","Freyja","","1","Active","Swimming","","","","","",""
"4","NARO","Laura Pilarski","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2017-11-14 15:08:57","","2017-11-14 15:10:06","2017-11-14","15:10:06","2017","11","15","Freyja,Thelma","15.00","","600x600","","Interval","Thelma","","1","Active","Swimming","","","","","",""
"4","NARO","Laura Pilarski","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2017-11-14 15:08:57","","2017-11-14 15:11:06","2017-11-14","15:11:06","2017","11","15","Freyja,Thelma","15.00","","600x600","","Interval","Freyja","","2","Active","Investigating","","","","","",""
"4","NARO","Laura Pilarski","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2017-11-14 15:08:57","","2017-11-14 15:11:06","2017-11-14","15:11:06","2017","11","15","Freyja,Thelma","15.00","","600x600","","Interval","Thelma","","2","Active","Investigating","","","","","",""
"4","NARO","Laura Pilarski","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2017-11-14 15:08:57","","2017-11-14 15:12:06","2017-11-14","15:12:06","2017","11","15","Freyja,Thelma","15.00","","600x600","","Interval","Freyja","","3","Active","Swimming","","","","","",""
"4","NARO","Laura Pilarski","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2017-11-14 15:08:57","","2017-11-14 15:12:06","2017-11-14","15:12:06","2017","11","15","Freyja,Thelma","15.00","","600x600","","Interval","Thelma","","3","Active","Swimming","","","","","",""
"4","NARO","Laura Pilarski","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2017-11-14 15:08:57","","2017-11-14 15:13:06","2017-11-14","15:13:06","2017","11","15","Freyja,Thelma","15.00","","600x600","","Interval","Freyja","","4","Active","Swimming","","","","","",""
"4","NARO","Laura Pilarski","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2017-11-14 15:08:57","","2017-11-14 15:13:06","2017-11-14","15:13:06","2017","11","15","Freyja,Thelma","15.00","","600x600","","Interval","Thelma","","4","Active","Swimming","","","","","",""
"4","NARO","Laura Pilarski","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2017-11-14 15:08:57","","2017-11-14 15:14:06","2017-11-14","15:14:06","2017","11","15","Freyja,Thelma","15.00","","600x600","","Interval","Freyja","","5","Active","Swimming","","","","","",""
"4","NARO","Laura Pilarski","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2017-11-14 15:08:57","","2017-11-14 15:14:06","2017-11-14","15:14:06","2017","11","15","Freyja,Thelma","15.00","","600x600","","Interval","Thelma","","5","Active","Swimming","","","","","",""
"4","NARO","Laura Pilarski","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2017-11-14 15:08:57","","2017-11-14 15:15:06","2017-11-14","15:15:06","2017","11","15","Freyja,Thelma","15.00","","600x600","","Interval","Freyja","","6","Active","Swimming","","","","","",""
"4","NARO","Laura Pilarski","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2017-11-14 15:08:57","","2017-11-14 15:15:06","2017-11-14","15:15:06","2017","11","15","Freyja,Thelma","15.00","","600x600","","Interval","Thelma","","6","Active","Swimming","","","","","",""
"4","NARO","Laura Pilarski","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2017-11-14 15:08:57","","2017-11-14 15:16:06","2017-11-14","15:16:06","2017","11","15","Freyja,Thelma","15.00","","600x600","","Interval","Freyja","","7","Active","Swimming","","","","","",""
"4","NARO","Laura Pilarski","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2017-11-14 15:08:57","","2017-11-14 15:16:06","2017-11-14","15:16:06","2017","11","15","Freyja,Thelma","15.00","","600x600","","Interval","Thelma","","7","Active","Swimming","","","","","",""
"4","NARO","Laura Pilarski","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2017-11-14 15:08:57","","2017-11-14 15:17:06","2017-11-14","15:17:06","2017","11","15","Freyja,Thelma","15.00","","600x600","","Interval","Freyja","","8","Active","Swimming","","","","","",""
"4","NARO","Laura Pilarski","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2017-11-14 15:08:57","","2017-11-14 15:17:06","2017-11-14","15:17:06","2017","11","15","Freyja,Thelma","15.00","","600x600","","Interval","Thelma","","8","Active","Swimming","","","","","",""
"4","NARO","Laura Pilarski","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2017-11-14 15:08:57","","2017-11-14 15:18:06","2017-11-14","15:18:06","2017","11","15","Freyja,Thelma","15.00","","600x600","","Interval","Freyja","","9","Active","Swimming","","","","","",""
