"SessionID","Configuration Name","Observer","DeviceID","Session Start Time","Session End Time","DateTime","Date","Time","Year","Month","Hour","Project Animals","Duration","Grid Size","Image Size","Notes","Channel Type","Focal Name","Frame Number","Interval Channel 1 Name","Interval Channel 1 Value","Interval Channel 2 Name","Interval Channel 2 Value","Interval Channel 2 Social Modifier","Interval Channel 3 Name","Interval Channel 3 Value"
20,"Animal","Pumpkin","fec64e9b-ff9b-4fe1-8710-c140662355ed","2017-12-01 15:11:02","","2017-12-01 15:12:10","2017-12-01","15:12:10",2017,12,15,"Gertrude,Fluff,Remington,Elton,Leroy",15,NA,"600x600","","Interval","Bucky",1,"Inactive","Resting","","","","",""
20,"Animal","Pumpkin","fec64e9b-ff9b-4fe1-8710-c140662355ed","2017-12-01 15:11:02","","2017-12-01 15:12:10","2017-12-01","15:12:10",2017,12,15,"Gertrude,Fluff,Remington,Elton,Leroy",15,NA,"600x600","","Interval","Gertrude",1,"Inactive","Resting","","","","",""
20,"Animal","Pumpkin","fec64e9b-ff9b-4fe1-8710-c140662355ed","2017-12-01 15:11:02","","2017-12-01 15:13:10","2017-12-01","15:13:10",2017,12,15,"Gertrude,Fluff,Remington,Elton,Leroy",15,NA,"600x600","","Interval","Gertrude",2,"Inactive","Resting","","","","",""
20,"Animal","Pumpkin","fec64e9b-ff9b-4fe1-8710-c140662355ed","2017-12-01 15:11:02","","2017-12-01 15:14:10","2017-12-01","15:14:10",2017,12,15,"Gertrude,Fluff,Remington,Elton,Leroy",15,NA,"600x600","","Interval","Bucky",3,"Inactive","Resting","","","","",""
20,"Animal","Pumpkin","fec64e9b-ff9b-4fe1-8710-c140662355ed","2017-12-01 15:11:02","","2017-12-01 15:14:10","2017-12-01","15:14:10",2017,12,15,"Gertrude,Fluff,Remington,Elton,Leroy",15,NA,"600x600","","Interval","Gertrude",3,"Inactive","Resting","","","","",""
20,"Animal","Pumpkin","fec64e9b-ff9b-4fe1-8710-c140662355ed","2017-12-01 15:11:02","","2017-12-01 15:15:10","2017-12-01","15:15:10",2017,12,15,"Gertrude,Fluff,Remington,Elton,Leroy",15,NA,"600x600","","Interval","Bucky",4,"Inactive","Sleeping","","","","",""
20,"Animal","Pumpkin","fec64e9b-ff9b-4fe1-8710-c140662355ed","2017-12-01 15:11:02","","2017-12-01 15:16:10","2017-12-01","15:16:10",2017,12,15,"Gertrude,Fluff,Remington,Elton,Leroy",15,NA,"600x600","","Interval","Bucky",5,"Inactive","Resting","","","","",""
20,"Animal","Pumpkin","fec64e9b-ff9b-4fe1-8710-c140662355ed","2017-12-01 15:11:02","","2017-12-01 15:16:10","2017-12-01","15:16:10",2017,12,15,"Gertrude,Fluff,Remington,Elton,Leroy",15,NA,"600x600","","Interval","Gertrude",5,"Inactive","Resting","","","","",""
20,"Animal","Pumpkin","fec64e9b-ff9b-4fe1-8710-c140662355ed","2017-12-01 15:11:02","","2017-12-01 15:17:10","2017-12-01","15:17:10",2017,12,15,"Gertrude,Fluff,Remington,Elton,Leroy",15,NA,"600x600","","Interval","Bucky",6,"Inactive","Resting","","","","",""
20,"Animal","Pumpkin","fec64e9b-ff9b-4fe1-8710-c140662355ed","2017-12-01 15:11:02","","2017-12-01 15:17:10","2017-12-01","15:17:10",2017,12,15,"Gertrude,Fluff,Remington,Elton,Leroy",15,NA,"600x600","","Interval","Gertrude",6,"Inactive","Resting","","","","",""
20,"Animal","Pumpkin","fec64e9b-ff9b-4fe1-8710-c140662355ed","2017-12-01 15:11:02","","2017-12-01 15:18:10","2017-12-01","15:18:10",2017,12,15,"Gertrude,Fluff,Remington,Elton,Leroy",15,NA,"600x600","","Interval","Bucky",7,"Inactive","Resting","","","","",""
20,"Animal","Pumpkin","fec64e9b-ff9b-4fe1-8710-c140662355ed","2017-12-01 15:11:02","","2017-12-01 15:18:10","2017-12-01","15:18:10",2017,12,15,"Gertrude,Fluff,Remington,Elton,Leroy",15,NA,"600x600","","Interval","Gertrude",7,"Inactive","Resting","","","","",""
20,"Animal","Pumpkin","fec64e9b-ff9b-4fe1-8710-c140662355ed","2017-12-01 15:11:02","","2017-12-01 15:19:10","2017-12-01","15:19:10",2017,12,15,"Gertrude,Fluff,Remington,Elton,Leroy",15,NA,"600x600","","Interval","Bucky",8,"Inactive","Resting","","","","",""
